i,r1,l1,r2,l2,cyl1_primitive,cyl2_primitive,algoPath,minD,p1x,p1y,p1z,p2x,p2y,p2z,q0,q1,q2,q3,R_temp[0][0],R_temp[0][1],R_temp[0][2],O2x,R_temp[1][0],R_temp[1][1],R_temp[1][2],O2y,R_temp[2][0],R_temp[2][1],R_temp[2][2],O2z,kvec[0],kvec[1],kvec[2],kphi
10000,4.20094,3.9155,6.97191,3.9922,3,6,B4aXX,0,1.21804,-0.589872,4.35207e-14,1.21804,-0.589872,8.88178e-16,0.950971,0.307997,0.0208288,-0.0189223,0.998416,0.0488195,0.0279593,4.93835,-0.0231586,0.80956,-0.58658,-2.90061,-0.0512712,0.585004,0.809408,-6.73536,0.995852,0.0673463,-0.0611817,0.628871
10001,1.82392,4.76115,7.567,4.58098,1,1,AXXXX,0,-0.47883,1.75995,2.36841,-0.47883,1.75995,2.36841,0.920246,0.260583,-0.014272,0.291618,0.829511,-0.544158,0.125713,6.71602,0.529282,0.694112,-0.487924,4.16351,0.178248,0.471276,0.863786,1.45566,0.665871,-0.0364694,0.745175,0.804177
10002,0.783395,0.648952,7.00472,0.544044,5,5,C4b3b,6.75231,0.510494,0.594226,1.77636e-15,2.68457,3.1249,-5.8705,0.965837,0.201068,-0.157698,-0.0431561,0.946538,0.0199475,-0.321976,5.59989,-0.14678,0.915418,-0.374787,-1.05259,0.287266,0.402009,0.869406,-7.21745,0.775871,-0.608516,-0.166529,0.524287
10003,2.46791,1.46258,9.86388,3.85679,5,5,C4b4b,0.209271,0.590509,2.39623,1.3739e-15,0.628649,2.551,-0.135595,0.896268,0.38633,-0.163647,0.143777,0.905095,-0.384169,-0.182254,6.9909,0.131282,0.660155,-0.739567,6.36952,0.404435,0.645453,0.647938,0.0601212,0.871069,-0.368981,0.324178,0.919026
10004,0.348776,2.62998,9.74664,0.430279,5,5,C4b4b,1.94449,0.329334,0.114821,-8.88178e-16,0.352523,0.122906,-1.94434,0.999502,0.0018936,-0.00602408,0.0309041,0.998017,-0.0618003,-0.0119251,6.16136,0.0617547,0.998083,-0.00415766,1.49565,0.0121592,0.00341298,0.99992,-2.29967,0.060033,-0.190982,0.979756,0.0630958
10005,1.1914,4.51104,9.85317,4.2546,5,5,C24bX,-2.24471,1.19071,0.0405557,0,-1.05244,-0.0358461,0.0341713,0.999807,0.0178316,0.00822473,-0.000273081,0.999865,0.000839377,0.0164365,8.7909,-0.000252736,0.999364,-0.0356608,0.305993,-0.016456,0.0356518,0.999229,-0.297187,0.907973,0.418798,-0.0139051,0.0392803
10006,2.18819,4.65405,9.65918,3.60476,5,5,C4b3b,1.09377,2.04823,0.770003,3.33067e-16,2.77959,1.04495,-0.765404,0.904736,0.203446,-0.329721,-0.177052,0.719873,0.18621,-0.668662,5.41089,-0.454531,0.854525,-0.251373,3.06484,0.52458,0.484884,0.699788,-2.6768,0.477601,-0.774041,-0.41564,0.880075
10007,4.14601,1.14484,6.65169,4.46686,5,4,C24aX,-1.98779,3.79213,1.67605,1.14484,2.35428,1.04055,2.36141,0.89517,0.238861,0.34645,0.146933,0.716766,-0.0975526,0.690456,7.01149,0.428566,0.842713,-0.325832,3.23989,-0.550071,0.529452,0.645835,-1.85381,0.535892,0.777272,0.329648,0.92397
10008,1.99218,3.42109,9.07383,4.55486,2,5,B2XXX,-1.21027,0.467978,-0.626401,3.26116,1.19234,-1.59597,3.26116,0.976768,0.102442,0.0806821,-0.170062,0.929138,0.348753,0.122772,5.79086,-0.315693,0.921169,-0.227566,-7.5994,-0.192458,0.172682,0.965992,0.941972,0.478026,0.376489,-0.793566,0.431953
10009,3.09798,3.93001,6.4053,1.53729,6,2,B2XXX,-2.19519,1.83796,-2.49387,3.93001,0.78186,-1.06088,5.21455,0.898962,0.415612,-0.137655,-0.0136079,0.961732,-0.0899559,-0.258804,4.0041,-0.138888,0.654164,-0.743492,-4.83807,0.236182,0.750985,0.616636,1.13125,0.948828,-0.314261,-0.0310663,0.906804
